render_count,average_contrast
12,28.402331972940573
6,84.15687317274634
12,19.362609521194397
6,42.226083727286955
8,21.96646623603482
12,65.71201903198461
8,26.178561974976542
8,50.49811991811398
6,26.918342472695457
12,31.428337492146
12,45.54387119599452
8,17.381494094773885
6,52.38175499613221
12,27.31849073123437
6,57.295585313774176
12,45.27901696714239
12,45.53781666615475
6,54.432167044936755
6,42.47317999486092
8,39.511428222408625
6,27.208420359740217
6,45.87370843285035
6,30.422726815177857
6,45.65705165677458
6,33.069272600619655
12,92.90929691306268
6,22.062863038501437
12,28.21186224531392
12,28.068497344564037
6,61.36959394406352
8,55.18900257846111
12,22.017725664079393
6,44.257969486400945
8,27.1394605725621
8,17.825239337106243
12,41.6756322318143
12,55.45036643413385
12,60.24469915827209
8,26.779231274955595
8,24.325778089445866
6,35.481728879192275
8,16.418168192382954
8,30.85847997995307
6,77.564264958071
6,67.21902846123561
8,39.09289718700576
12,50.74078429664741
6,87.71331233458072
12,43.8464427677002
12,16.971188591551535
12,14.59442216224376
8,35.15122889365747
12,38.17229551332379
8,32.883575409095045
12,35.802362166011505
12,36.437060866427245
12,23.761051885656027
8,25.485862949529366
8,18.14263080049319
12,19.97150053934188
8,37.10974979443433
12,20.593823916799114
8,44.931299930833966
12,32.776660031787536
8,39.151862877765495
6,65.94345301666182
8,44.71434747589216
12,71.91712738903091
6,20.605738352789064
12,28.674092755618872
8,49.93659810907241
12,83.04199716725121
6,74.29920388702274
6,53.29991292269391
8,47.21106458154557
8,38.47737400827423
12,41.39112417359627
8,28.889826317509065
8,10.352390358549185
8,38.99248115860808
8,25.177507813860117
12,40.26360418260756
6,28.761135346671228
12,18.327850624961616
8,46.11319645621046
12,55.96984124611086
12,66.70754746591672
8,18.266392138183488
8,44.244890736827635
12,31.230233192301075
12,41.39388244209793
8,20.071486481697153
6,29.41364783181321
6,26.9388617254788
12,16.315814996410527
6,18.283721492472814
8,21.990566159688893
12,26.309203099860927
8,35.353213148547944
12,11.310383846403576
6,34.75541422817245
6,45.00477833236249
8,39.69903204149667
6,37.68800253059834
12,17.634148121995935
